Parcel APN;NR_GH-Plants;NR_OD-Plants;Dist_to_grow_m;Km Priv. Road;Km Local Road;Mean elevation;PublicLand_YN;Prop_in_THP
20814221;0;0;0;2.820652635;0;491.9622642;0;0
20811402;0;0;0;10.37232246;0;491.2444444;0;0
20814216;0;0;0;0;0;491.2;0;0
20722303;0;0;0;4.816124699;7.700444835;490.1818182;0;0.193654341
21001219;353;115;610;0;0;488.64;0;0
20814217;0;0;0;0;0;487.92;0;0
20706201;0;0;0;0;0;487.5628931;0;0
20814110;0;0;0;0;0;487.16;0;0
20712405;0;0;0;0;0;485.88;0;0
20707602;0;0;0;1.92950801;0;485.7349398;0;0
21703303;0;0;0;0;0.035013207;482.2;0;0
20814108;0;0;0;0;0;480.2777778;0;0
20811309;452;0;70;0;0;479.9818182;0;0
20705506;0;0;0;0;0;479.5555556;0;0
21001204;0;0;0;0;0;479.402439;0;0
20801102;0;0;0;0;0;479.1266667;0;0
20811232;0;0;0;0;0;479;0;0
20718603;0;0;0;0;0;478.2424242;0;0
20812110;0;0;0;4.715148668;0.961057396;477.864;0;0
20814229;0;0;0;0;0;477.1481481;0;0
20814233;0;0;0;0.797604318;0;475.9487179;0;0
20802603;0;0;0;0;0;472.25;0;0
20939116;0;0;0;0.504233595;0;472.0697674;0;0.000901181
20712601;0;0;0;0;0;470.3264249;0;0.011560088
20801505;0;0;0;0;0;467.4458204;0;0
20811225;184;0;100;0;0;466.7647059;0;0
20718612;0;0;0;0;0;466.1333333;0;0
20938108;0;0;0;2.111216874;0;464.8611111;0;0.999333135
20705501;0;0;0;0;0;464.8219178;0;0
20718303;0;0;0;1.03397642;0;464.1916376;0;0
20814231;0;0;0;5.726020345;0;464.1666667;0;0
20814304;0;0;0;0;0;463.2666667;0;0
20814303;0;0;0;0;0;462.4333333;0;0
20810413;0;0;0;0;0;460.9203297;0;0
20814218;0;0;0;0;0;460.64;0;0
20812107;0;0;0;4.811144459;0;460.1824818;0;0
20814101;0;0;0;0.577026872;0;460.18;0;0
20814235;0;0;0;0;0;459.8441558;0;0
20811207;54;0;220;0.613396178;0;459.8125;0;0
20811206;0;0;0;1.743610291;0;456.5;0;0
20802601;0;0;0;0;0;456.3333333;0;0
20718404;0;0;0;0;0;454;0;0
20722403;0;0;0;19.31498012;0;452.8885449;0;0
20810412;0;0;0;0;0;452.4285714;0;0
21002241;0;0;0;1.34589645;0;452.1111111;0;0
20718407;0;0;0;3.814285212;0;450.1805556;0;0
21001202;0;0;0;0;0;448.6056338;0;0
20706402;0;0;0;0;0;448.5454545;0;0
20722302;0;0;0;0;0.210079114;446.9555556;0;0
20708401;0;0;0;0;0;445.4033149;0;0
20811230;0;31;50;0;0;444.03125;0;0
20925102;0;0;0;12.12789574;0;443.3003003;0;0.032456256
20938114;0;0;0;2.056918963;0;437.3953488;0;0.147264176
20813106;0;0;0;9.661370808;0;436.8489426;0;0
20811223;0;0;0;0;0;436.125;0;0
20811117;627;0;70;0.092071954;0;435.8529412;0;0
20801502;0;0;0;0;0;435.8166667;0;0
21004109;0;84;10;0;0;434;0;0
20723202;0;0;0;0;0;434;0;0
21002242;0;0;0;0;0;433.6;0;0
20811301;0;0;0;1.761783311;0;433.4569536;0;0
20721102;0;0;0;14.12174726;0;432.760989;0;0
20811405;0;0;0;0.90654262;0;431;0;0
20811124;0;0;0;0;0;430.2142857;0;0
21001201;0;0;0;0;0;428.28;0;0
20926103;0;0;0;7.017199221;0;426.0123457;0;0.097997215
20814109;0;0;0;0;0;425.78;0;0
20921103;0;0;0;0;0;425.7111111;0;0
21001109;0;0;0;0;0;424.7909091;0;0
20814227;0;0;0;0.328431576;0;424.5;0;0
20801605;0;0;0;0;0;423.4910714;0;0
21703404;0;0;0;1.09073361;0;422.220339;0;0
20707508;0;0;0;7.513230589;4.43472193;422.1538462;0;0
20814106;0;0;0;0;0;421.7777778;0;0
20712403;0;0;0;0;0;420.8;0;0
20722301;0;0;0;0;0;419.06;0;0.4128063
20718502;0;0;0;0;0;418.1598837;0;0
21703403;0;0;0;4.119526398;0;417.3125;0;0.155256951
20811228;0;0;0;0;0;415.4074074;0;0
20940109;0;0;0;3.096166697;0;414;0;0
20926104;0;0;0;17.51037634;0;413.2097561;0;0.088380732
20712106;0;0;0;0;0;412.373494;0;0
20708602;0;0;0;0;0;411.3684211;0;0
20814236;0;0;0;0.340637443;0;410.3076923;0;0
20718116;0;0;0;0;0;409.82;1;0
20921117;0;0;0;0.082546294;0;406.4937888;0;0
20705602;0;0;0;0;0;406.3369565;0;0
21701101;0;0;0;0;0;404.9541284;0;0.011813111
20810410;0;0;0;0;0;404.2777778;0;0
20811229;0;0;0;0.809426963;0;401;0;0
20814220;0;0;0;0;0;400.12;0;0
20814219;0;0;0;0;0;400.04;0;0
20811226;0;89;100;0;0;398.88;0;0
20811118;19;0;50;0.360656855;0;398.8648649;0;0
